City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,74.08,overcast clouds,-23.1203,-134.9692,People ThankYou
1,Vaini,TO,74.62,overcast clouds,-21.2,-175.2,Keleti Beach Resort
3,Sibolga,ID,76.93,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
4,Kuchinarai,TH,74.28,overcast clouds,16.541,104.05,โรงแรมแสงชัย
5,Ternate,ID,80.19,broken clouds,0.8,127.4,Grand Dafam Bela Ternate
6,El Alto,PE,74.86,few clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
7,Samsun,TR,75.99,broken clouds,41.25,36.3333,Anemon Samsun Otel
13,Gamboma,CG,84.51,overcast clouds,-1.8764,15.8644,Residence N'Keni
19,Atuona,PF,78.42,scattered clouds,-9.8,-139.0333,Villa Enata
21,Ridgecrest,US,86.31,light rain,35.6225,-117.6709,SpringHill Suites by Marriott Ridgecrest
26,Pedernales,DO,86.43,broken clouds,18.0384,-71.744,Hotel Costa Marina
27,Boke,GN,75.81,moderate rain,10.9409,-14.2967,Hôtel Rio Nunez - Boké
28,Puerto Ayora,EC,76.96,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
35,Komsomolskiy,UZ,84.92,clear sky,40.4272,71.7189,Ikathouse
38,Songkhla,TH,80.65,broken clouds,6.8333,100.6667,น.ส ซัลมา สาแม็ง
40,Santa Quiteria,BR,87.28,broken clouds,-4.3319,-40.1567,Tahen Hotel
41,Butaritari,KI,82.8,light rain,3.0707,172.7902,Isles Sunset Lodge
45,Palmas,BR,87.67,clear sky,-10.2128,-48.3603,Hotel Lago da Palma
47,Kahului,US,85.26,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
48,Kinkala,CG,73.71,broken clouds,-4.3614,14.7644,Hotel la Pepeche Kinkala
49,Shihezi,CN,82.76,clear sky,44.3,86.0333,Home Inn Shihezi Dongwu Road Century Square
51,Faanui,PF,78.58,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
52,Hithadhoo,MV,80.2,overcast clouds,-0.6,73.0833,Scoop Guest House
55,Platanos,GR,81.7,clear sky,37.6667,21.6167,Hotel Kronio
56,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
57,Tabriz,IR,81.86,few clouds,38.08,46.2919,Sina Hotel
61,Fare,PF,78.85,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
64,Hilo,US,75.61,mist,19.7297,-155.09,Hilo Hawaiian Hotel
69,Palora,EC,76.98,overcast clouds,-1.7,-77.9333,Rancho grande
71,Fethiye,TR,76.87,clear sky,36.6217,29.1164,Club & Hotel Letoonia
74,Yangjiang,CN,80.56,overcast clouds,21.85,111.9667,HUALUXE Yangjiang City Center
76,Harrai,IN,73.71,light rain,22.6167,79.2167,काव्या बुटिक
77,Dingle,PH,78.94,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
80,Cairns,AU,71.55,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
81,Iquitos,PE,86.04,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
82,Bethel,US,89.46,haze,41.3712,-73.414,Courtyard by Marriott Danbury
83,Zharkent,KZ,76.48,clear sky,44.1628,80.0,гостиница Satti
84,Bembereke,BJ,74.17,overcast clouds,10.2283,2.6634,Hotel Bio Guera
86,Meaford,CA,86.61,clear sky,44.6001,-80.583,Meaford Memorial Park
90,Ishigaki,JP,83.12,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
91,Barrancabermeja,CO,88.43,overcast clouds,7.0653,-73.8547,Hotel Millenium Barrancabermeja
92,Victoria,HK,87.33,overcast clouds,22.2855,114.1577,Mini Hotel Central
95,Kismayo,SO,76.14,overcast clouds,-0.3582,42.5454,Agan-Hotel
97,Georgetown,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
105,Monrovia,LR,77.02,overcast clouds,6.3005,-10.7969,Sunset Inn
106,Kapaa,US,84.52,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
114,Esqueda,MX,86.74,scattered clouds,30.7167,-109.5833,Hotel Esqueda
117,Jamestown,US,85.32,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
122,San Quintin,MX,72.95,scattered clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
123,Namatanai,PG,79.07,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
124,Tautira,PF,82.42,scattered clouds,-17.7333,-149.15,Pension Oaoa
126,Arraial Do Cabo,BR,75.16,clear sky,-22.9661,-42.0278,Pousada Porto Praia
128,Waingapu,ID,71.67,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
129,Basco,PH,82.67,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
130,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
131,Raudeberg,NO,78.4,overcast clouds,61.9875,5.1352,Nordre Silda.
132,Abonnema,NG,79.09,overcast clouds,4.7084,6.7931,Corper's Lodge Obonoma
136,Jaumave,MX,87.94,clear sky,23.4167,-99.3833,HOTEL CIENEGA
137,Lypova Dolyna,UA,70.75,overcast clouds,50.5643,33.7979,Олівія
138,Hami,CN,83.88,clear sky,42.8,93.45,Laoyutang Resort
141,Lagoa,PT,70.83,broken clouds,39.05,-27.9833,Casa Das Faias
144,Balykshi,KZ,71.6,clear sky,47.0667,51.8667,Гостиница Golden Rose
145,Touros,BR,81.5,clear sky,-5.1989,-35.4608,INN NEW HORIZON
151,Ponta Do Sol,PT,74.71,clear sky,32.6667,-17.1,Hotel do Campo
152,Taft,IR,84.15,few clouds,31.7471,54.2088,بوم گردی حاجی زینل تفت
155,Urumqi,CN,79.75,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
