City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Butaritari,KI,82.49,light rain,3.0707,172.7902,Isles Sunset Lodge
1,Aksu,CN,89.89,clear sky,41.1231,80.2644,Pudong Holiday Hotel
5,Ponta Do Sol,PT,72.72,clear sky,32.6667,-17.1,Hotel do Campo
8,Tubuala,PA,78.33,overcast clouds,9.5167,-79.0333,Río Nabagana
9,Pochutla,MX,82.81,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
12,Hilo,US,78.53,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
14,Ponta Delgada,PT,70.52,light intensity drizzle,37.7333,-25.6667,Vila Nova Hotel
15,Sistranda,NO,70.9,clear sky,63.7256,8.834,Hotell Frøya
17,Samarai,PG,78.73,overcast clouds,-10.6167,150.6667,Nuli Sapi
18,Byron Bay,AU,72.05,clear sky,-28.65,153.6167,Backpackers Inn on the Beach
19,Bontang,ID,82.44,scattered clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
20,Bathsheba,BB,80.2,clear sky,13.2167,-59.5167,Atlantis Hotel
21,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
25,Buala,SB,80.2,light rain,-8.145,159.5921,Maringe Lagoon Lodge
26,Kahului,US,85.26,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
30,Vila Franca Do Campo,PT,70.21,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
34,Fukuchiyama,JP,89.46,overcast clouds,35.3,135.1167,Fukuchiyama Ark Hotel
39,Lazaro Cardenas,MX,82.2,broken clouds,17.9583,-102.2,quinta antigua
40,Yeppoon,AU,71.38,few clouds,-23.1333,150.7333,Villa Mar Colina
41,Qui Nhon,VN,87.89,few clouds,13.7667,109.2333,Hoang Yen Canary Hotel
45,Teknaf,BD,79.07,heavy intensity rain,20.8624,92.3058,Forestry Guesthouse
46,Altay,CN,78.67,clear sky,47.8667,88.1167,Jinqiao Hotel
51,Kavieng,PG,84.94,broken clouds,-2.5744,150.7967,Nusa Island Retreat
57,Atuona,PF,77.81,scattered clouds,-9.8,-139.0333,Villa Enata
58,Ariquemes,BR,81.01,broken clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
63,Zaltan,LY,79.12,clear sky,32.947,11.8665,زلطن الشرقية
64,Panzhihua,CN,78.4,broken clouds,26.5851,101.7128,Electric Power Hotel
65,Bangkalan,ID,80.55,clear sky,-7.0455,112.7351,SPOT ON 2591 Griya Demangan Syariah
66,Georgetown,MY,85.95,scattered clouds,5.4112,100.3354,Cititel Penang
67,Aden,YE,82.04,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
68,Semnan,IR,81.91,clear sky,35.5729,53.3971,Semnan Tourist Hotel
71,Totness,SR,77.49,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
72,Faanui,PF,78.73,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
73,Phan Thiet,VN,85.55,clear sky,10.9333,108.1,Hotel Saigon-PT
75,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
76,Lagoa,PT,70.65,overcast clouds,39.05,-27.9833,Casa Das Faias
79,Jalu,LY,78.39,clear sky,29.0331,21.5482,صاحبة الفخامة
80,Alyangula,AU,78.35,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
83,Salina Cruz,MX,82.65,overcast clouds,16.1667,-95.2,Amerik HOTEL
85,Pringsewu,ID,82.13,few clouds,-5.3582,104.9744,Urban Style by Front One
86,Farmington,US,72.28,overcast clouds,36.7281,-108.2187,Courtyard by Marriott Farmington
88,Lorengau,PG,84.34,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
89,Nanchong,CN,83.07,clear sky,30.7951,106.0847,Marine Una Century Hotel
94,San Cristobal,VE,71.78,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
95,Benemerito De Las Americas,MX,77.18,broken clouds,16.5167,-90.6439,"Tres Lagunas, Selva Lacandona"
99,Jamestown,US,71.24,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
103,Watari,JP,75.78,mist,38.035,140.8511,Hotel Boston Club
