City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,74.08,76,99,18.23,overcast clouds
1,Vaini,TO,-21.2,-175.2,74.62,71,99,20.31,overcast clouds
2,Ostrovnoy,RU,68.0531,39.5131,45.86,88,100,21.74,overcast clouds
3,Sibolga,ID,1.7427,98.7792,76.93,87,77,2.55,broken clouds
4,Kuchinarai,TH,16.541,104.05,74.28,93,99,7.38,overcast clouds
5,Ternate,ID,0.8,127.4,80.19,82,78,9.1,broken clouds
6,El Alto,PE,-4.2714,-81.2147,74.86,73,14,14.88,few clouds
7,Samsun,TR,41.25,36.3333,75.99,66,74,5.44,broken clouds
8,Andenes,NO,69.3143,16.1194,57.47,100,90,10.36,fog
9,Albany,US,42.6001,-73.9662,86.04,49,0,1.01,clear sky
10,Bluff,NZ,-46.6,168.3333,42.8,79,40,18.9,scattered clouds
11,Chumikan,RU,54.7183,135.315,63.72,73,100,3.87,overcast clouds
12,Port Alfred,ZA,-33.5906,26.891,63.3,33,100,10.11,overcast clouds
13,Gamboma,CG,-1.8764,15.8644,84.51,32,99,2.68,overcast clouds
14,Russell,US,32.3502,-85.1999,93.51,59,40,5.75,scattered clouds
15,Torbay,CA,47.6666,-52.7314,65.75,76,75,13.8,broken clouds
16,Arkhara,RU,49.4212,130.0842,69.37,99,100,5.08,overcast clouds
17,Vestmanna,FO,62.1564,-7.1664,50.92,100,90,6.91,heavy intensity drizzle
18,Saint-Joseph,RE,-21.3667,55.6167,66.56,79,63,11.1,light rain
19,Atuona,PF,-9.8,-139.0333,78.42,67,34,23.58,scattered clouds
20,Cape Town,ZA,-33.9258,18.4232,62.1,53,0,8.05,clear sky
21,Ridgecrest,US,35.6225,-117.6709,86.31,51,90,0.0,light rain
22,Barrow,US,71.2906,-156.7887,46.42,93,90,8.05,light rain
23,Mehamn,NO,71.0357,27.8492,44.51,87,40,1.14,scattered clouds
24,Ushuaia,AR,-54.8,-68.3,35.26,87,40,6.91,scattered clouds
25,Hofn,IS,64.2539,-15.2082,52.32,78,100,7.54,overcast clouds
26,Pedernales,DO,18.0384,-71.744,86.43,64,65,1.79,broken clouds
27,Boke,GN,10.9409,-14.2967,75.81,94,100,4.16,moderate rain
28,Puerto Ayora,EC,-0.7393,-90.3518,76.96,80,37,8.01,scattered clouds
29,Sitka,US,57.0531,-135.33,60.69,72,20,10.36,light rain
30,Santander Jimenez,MX,24.2167,-98.4667,96.4,33,0,11.39,clear sky
