City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Butaritari,KI,3.0707,172.7902,82.49,74,46,7.09,light rain
1,Aksu,CN,41.1231,80.2644,89.89,19,0,6.11,clear sky
2,San Rafael,AR,-34.6177,-68.3301,42.35,47,28,3.6,scattered clouds
3,Vostok,RU,46.4856,135.8833,85.32,58,100,4.18,overcast clouds
4,Busselton,AU,-33.65,115.3333,52.09,57,100,26.02,overcast clouds
5,Ponta Do Sol,PT,32.6667,-17.1,72.72,71,2,5.55,clear sky
6,Albany,US,42.6001,-73.9662,72.25,79,0,1.01,clear sky
7,Urubamba,PE,-13.3047,-72.1158,52.7,87,8,5.19,clear sky
8,Tubuala,PA,9.5167,-79.0333,78.33,86,100,6.08,overcast clouds
9,Pochutla,MX,15.7432,-96.4661,82.81,92,100,2.82,overcast clouds
10,Mataura,NZ,-46.1927,168.8643,53.47,71,16,4.97,few clouds
11,Qaanaaq,GL,77.484,-69.3632,42.35,83,100,7.7,overcast clouds
12,Hilo,US,19.7297,-155.09,78.53,86,75,9.22,light rain
13,Ahipara,NZ,-35.1667,173.1667,58.28,66,2,16.82,clear sky
14,Ponta Delgada,PT,37.7333,-25.6667,70.52,94,75,5.75,light intensity drizzle
15,Sistranda,NO,63.7256,8.834,70.9,82,9,5.03,clear sky
16,Atasu,KZ,48.6814,71.6433,64.89,49,0,8.1,clear sky
17,Samarai,PG,-10.6167,150.6667,78.73,87,100,14.99,overcast clouds
18,Byron Bay,AU,-28.65,153.6167,72.05,44,0,3.89,clear sky
19,Bontang,ID,0.1333,117.5,82.44,76,48,9.35,scattered clouds
20,Bathsheba,BB,13.2167,-59.5167,80.2,75,9,13.24,clear sky
21,Avarua,CK,-21.2078,-159.775,77.05,73,74,9.22,broken clouds
22,Ostrovnoy,RU,68.0531,39.5131,46.02,84,100,22.62,overcast clouds
23,Mar Del Plata,AR,-38.0023,-57.5575,40.12,45,6,11.01,clear sky
24,Hobart,AU,-42.8794,147.3294,60.66,60,75,5.01,broken clouds
25,Buala,SB,-8.145,159.5921,80.2,82,96,7.61,light rain
26,Kahului,US,20.8947,-156.47,85.26,79,40,25.32,scattered clouds
27,Coquimbo,CL,-29.9533,-71.3436,51.53,87,0,6.91,clear sky
28,Severo-Kurilsk,RU,50.6789,156.125,61.03,85,82,8.21,broken clouds
29,Punta Arenas,CL,-53.15,-70.9167,41.11,81,75,8.05,broken clouds
30,Vila Franca Do Campo,PT,37.7167,-25.4333,70.21,91,95,5.08,overcast clouds
31,Cape Town,ZA,-33.9258,18.4232,55.11,81,0,4.0,clear sky
32,Andenes,NO,69.3143,16.1194,56.46,100,90,5.75,fog
33,Chapleau,CA,47.8405,-83.4034,60.13,82,90,3.18,overcast clouds
34,Fukuchiyama,JP,35.3,135.1167,89.46,64,100,11.52,overcast clouds
35,Iskateley,RU,67.6803,53.1512,45.72,87,100,10.07,overcast clouds
36,Pampas,PE,-12.4,-74.9,48.81,88,64,3.8,broken clouds
37,Yellowknife,CA,62.456,-114.3525,61.32,72,75,3.0,light intensity shower rain
38,Tuktoyaktuk,CA,69.4541,-133.0374,46.35,76,100,11.36,overcast clouds
39,Lazaro Cardenas,MX,17.9583,-102.2,82.2,81,56,0.78,broken clouds
40,Yeppoon,AU,-23.1333,150.7333,71.38,65,11,8.34,few clouds
41,Qui Nhon,VN,13.7667,109.2333,87.89,60,23,17.63,few clouds
42,Kaitangata,NZ,-46.2817,169.8464,53.92,53,7,8.7,clear sky
43,Bambous Virieux,MU,-20.3428,57.7575,66.22,76,94,14.52,light rain
44,Barrow,US,71.2906,-156.7887,48.22,93,90,8.05,light rain
45,Teknaf,BD,20.8624,92.3058,79.07,93,100,18.81,heavy intensity rain
46,Altay,CN,47.8667,88.1167,78.67,34,0,3.15,clear sky
47,Pevek,RU,69.7008,170.3133,35.82,90,97,18.34,overcast clouds
48,East London,ZA,-33.0153,27.9116,63.64,27,5,12.26,clear sky
49,Quatre Cocos,MU,-20.2078,57.7625,66.09,77,99,14.12,light rain
50,Ziro,IN,27.6333,93.8333,61.09,99,100,0.54,overcast clouds
51,Kavieng,PG,-2.5744,150.7967,84.94,64,57,4.47,broken clouds
52,Srednekolymsk,RU,67.45,153.6833,56.16,45,95,16.96,overcast clouds
53,Pangoa,PE,-12.1167,-73.0,69.67,77,0,2.84,clear sky
54,Mtambile,TZ,-5.3833,39.7,75.34,70,50,18.01,light rain
55,Te Anau,NZ,-45.4167,167.7167,48.43,72,41,5.86,scattered clouds
56,Muros,ES,42.7762,-9.0603,62.85,91,6,5.44,clear sky
57,Atuona,PF,-9.8,-139.0333,77.81,70,35,21.5,scattered clouds
58,Ariquemes,BR,-9.9133,-63.0408,81.01,46,81,0.43,broken clouds
59,Moose Factory,CA,51.2585,-80.6094,51.76,85,100,5.23,overcast clouds
60,Cap Malheureux,MU,-19.9842,57.6142,66.47,88,93,3.0,light rain
61,Mookane,BW,-23.688,26.6595,44.17,77,0,5.79,clear sky
62,Bredasdorp,ZA,-34.5322,20.0403,51.44,60,8,4.34,clear sky
63,Zaltan,LY,32.947,11.8665,79.12,54,0,12.82,clear sky
64,Panzhihua,CN,26.5851,101.7128,78.4,73,64,1.32,broken clouds
65,Bangkalan,ID,-7.0455,112.7351,80.55,60,5,1.5,clear sky
